paragraph,human generated title
"With respect to implementation, a clear assessment of the business enabling environment  and the private sector's willingness to participate in the investment program should be identified  early during the implementation period. In case the results indicate a lack of support from the  state or the stakeholders, design adjustments should be immediately implemented and  restructuring of the design should be considered.",Stakeholder engagement in design
"With respect to implementation, a clear assessment of the business enabling environment  and the private sector's willingness to participate in the investment program should be identified  early during the implementation period. In case the results indicate a lack of support from the  state or the stakeholders, design adjustments should be immediately implemented and  restructuring of the design should be considered.",Stakeholder engagement in design
"The project schedule developed at appraisal required all project contracts to be awarded  either before or immediately after grant approval and did not provide for an interval between grant  approval and grant effectivity. This was unrealistic. Furthermore, even though a grant covenant  required that the contractor shall not be allowed access to any section of the line route until all  resettlement issues were resolved, the project schedule made no provision for their resolution. In  an EPC contract—in which the contractor is responsible for design—the design approval,  resolution of resettlement issues, and construction are sequential activities, and this should be  provided in the project schedule. Project schedules should also incorporate realistic timeframes  for processing of contracts, and ideally provide some accommodation for inevitable delays.",Sequencing of project works 
"Lessons learned bear out the same lessons from earlier policy-based programs: (i) build  on ownership for reform; (ii) build on existing efforts; (iii) accommodate evolving policy dialogue; (iv) carefully time the intervention; (v) employ participation and build consensus; (vi) incorporate  the need for capacity and institutional development; (vii) keep the design simple and allow for  flexibility in the design; (viii) sequence reforms; and (ix) monitor progress (footnote 7). One further  lesson, given the experience of this program, is for ADB to stay fully engaged with the program  of reforms, whether or not program funds are scheduled to be disbursed in a particular year. All  future policy-based programs should be directed to consider these lessons in program design. In  retrospect, a stand-alone policy-based grant and loan would have been preferable to a  programmatic approach.",Scaling reforms through policy based lending 
"In situations where the executing agency is unfamiliar with the project delivery approach  planned at appraisal, such as the use of turnkey contracts, it would be helpful to provide  implementation support through a consultant. The FMC was appointed almost 1.5 years after  project approval and lasted for 1 year only due to poor performance. A new firm was hired 1.5  year after termination of the previous FMC. The absence of consultants delayed finalization of  engineering design for turnkey subprojects and completion of related safeguards documentation  in previous tranches. Had experienced support been available sooner, the time required to put  turnkey projects in place may have been reduced.","To avoid delays, support is required to help executing agencies with unfamiliar project plans and ADB requirements. "
"The MFF structure allowed for transfer of cancelled loan amounts to subsequent tranches.  This attests to the suitability of this financing modality for the type of investments required by a  distribution asset operator. There are multiple projects to be financed with ever changing demand.  The availability of the facility allows for subprojects that become ready or more urgent to be picked  up by earlier tranches. In some cases, delays caused by technical challenges can be remedied  by transferring the subproject to subsequent tranches.","MFF should be considered for complex projects in volatile regions, as its flexible tranche-based operation reduces risk."
"The project was completed without cost overrun and achieved its outputs in 6 years. The  main contributing factors were (i) strong government commitment; (ii) well-designed core  subprojects, including their demonstration impact to subsequent subprojects; (iii) suitable scope  of the subproject and efficient preparation; and (iv) timely counterpart funding from local  government.", Implementation efficiency
"Procurement and low bid prices. This has been observed as a growing phenomenon  across many ADB projects, as well as those funded by other donors, in the PRC. This  phenomenon is a result of many issues, including overestimating during bid preparation, price  analysis during bid evaluation, and low capacity of the implementing agency in contract  management. Most specifically, the cost estimate in the procurement plan is based on a feasibility  study report in the PRC, and the risk premium is always high in feasibility study report estimates.  More advance preparation will improve the accuracy of the cost estimates. While a recent  procurement reform in ADB should help address this situation,30 certain additional measures  should be considered to avoid further negative impacts on loan utilization. Such measures could  be related to more accurate bid preparations, including detailed designs and cost estimates, and  price analysis during bid evaluation. ADB and the PMO should make significant efforts to  strengthen the capacity of the implementing agency on procurement matters. Improvements in  the existing PRC's tracking system for sanctioned local bidders would also be essential for  addressing the problem. 30 The latest Procurement Regulations for ADB Borrowers refer to cases of abnormally low bids, where after careful examination, the borrower is given the option to reject the bid or request that the amount of the performance security  be increased at the expense of the bidder.",Accuracy of cost estimates
"Project extensions related to land acquisition and resettlement. Local governments  in the PRC are increasingly adopting a more cautious approach towards solving land acquisition  and resettlement issues. This has often led to extensions requests by the borrower in order to  complete the implementation of the project. When considering such type of extension requests,  ADB should undertake an extensive due diligence to assess whether the completion of the project  is achievable within the proposed extended timeline. This due diligence should not be just  undertaken by the project implementation consultants but also by an external specialist contracted  for this specific task.",Project implementation extension due to land acquisition
"Overall, the project was less than successful. 23  The project was implemented with  substantial delays and major changes in the financing plan, within project cost but with 69.3% of  ADB loan proceeds canceled. It was completed with a delay of over 4 years and required the  use of additional government resources. The total project cost was reduced because ADB and  the government did not extend the loan. The government has continuous ownership and  leadership of the Treasury's modernization, but has reduced its commitment to the PFM reform  timeline.",Government ownership in PFM reform
"PMO and executing agency staff need to improve their understanding of the agreed  timing, ADB's procurement guidelines, and government laws and regulations on procurement to  minimize any conflict between ADB guidelines and government requirements before starting  procurement. This includes involving the executing agency's bidding committee members early  in the project to avoid any possible conflict during procurement.",Early involvement of bidding committee members early
"One of the more significant issues was managing borrower expectations, particularly (i)  the time needed to complete the procurement process under ADB guidelines and (ii) the  expected versus the actual bid prices. Both issues caused distress between the donor and the  executing agency—expectations of the time needed to complete a transaction are often  unrealistic and bid prices are higher than expected—especially when the executing agency has  limited exposure to ADB procedures and to the prices of the goods and services proposed  under the project.",Unrealistic bid prices
"Land pooling proved to be a highly effective process for urban development. Financing an  untested and innovative approach clearly resulted in transformational impacts regarding how  urban areas are developed in the country. The key delay at start-up was corrected by starting  work in a subset of one local area where 100% agreement had already been achieved (para. 25).  Another lesson learned in land pooling is that proper sequencing of works can lead to better  outcomes. Initially, roads were finished in the areas under land pooling prior to private building  construction, which led to extensive road damage from movement of heavy vehicles (para. 17).", Transformations in urban area development
"In comparison with previous urban loans, the project increased coverage to more cities.  The uneven capacities in three areas were reflected through the funds allocated to the areas and  the capacity building program designed under the project. Dagana was an area that ADB had not  previously supported and it is also where there were some quality issues in the infrastructure built.  Capacity could not be built as envisioned because of changes in government policy related to the  funding of training. This could have been better bridged by increased consulting services;  however, toward the end of the project, there was also increased focus on optimizing consulting  services in donor-funded projects, which made it difficult to increase allocations to Dagana. While  the slope stability study for Dagana was delayed because of the challenges of working in a difficult  terrain, the delay could have been better managed by stronger supervision (para. 26). 34 For example, there is a need to further strengthen capacity in accounting and financial management, preparing bid",Alignment of government policy for capacity building
"The project correctly identified the capacity requirements. Projects need to ensure that  capacity building programs designed and agreed upon during project preparation are  implemented. While there may be changes in government policies regarding the use of loan funds,  clear agreements should be made that tie the financing of components to demonstration of  capacity or agreement with government to provide sufficient consulting services, particularly for  construction supervision.",Agreements tying financing to capacity building and consulting services are important
Constraints in capacity requirements can also be addressed through a phased approach  in implementing the various components. There were many components being simultaneously  implemented. Better sequencing may have improved implementation by allowing the personnel  implementing and supervising the works to focus on fewer components. Supervision in remote  sites like Dagana should be ensured; ADB supervision also needs to be better planned in this  regard. Higher levels of supervision resulted in better infrastructure quality in Thimphu and  Phuentsholing compared with Dagana.,Sequencing components and supervision are important
"Choice of project modality, scope, and implementation arrangements should be carefully  assessed and deliberately considered at project preparation. Project management faced  challenges beginning with initial implementation as the project comprised multiple  subcomponents scattered across many locations, resulting in a multilayered project  administrative structure. Combined with a requirement to conclude on-lending agreements  backed by stringent counter-guarantee arrangements across the PIAs and local governments, the  required coordination among relevant local government agencies was significant. It resulted in (i)  limited flexibility to respond to immediate implementation needs; and (ii) delays, which resulted in  advanced implementation of several subproject without the use of ADB loan financing. A flexible  approach that allowed individual subprojects to become effective when individual requirements  were met would have avoided this situation.",Complex projects should use appropriate flexible financing modalities to reduce implementation inefficiencies and delays.
"Urban development plans should be thoroughly reviewed and assessed to identify  potential risks at project preparation and thereby minimize subsequent changes in scope, and  attendant implementation delays. The district heating subproject faced a change in heat source  location, which affected both the original scope of works and implementation schedule. It was  caused by the limited coordination between the urban development plan and heating supply  investment planning. Heating reforms are expected to include tightened integration of district  heating investment and urban development planning.",Due diligence of urban development plans is essential to avoid costly changes during implementation.
"A strong project steering committee with close coordination across relevant local  government agencies is essential for smooth project implementation. The project structure—with  multiple subcomponents in scattered locations and a multi-layer project administrative structure— required strong leadership of the project leading group, which served to guide project  implementation.",Strong project leaders are essential to implement complex projects successfully.
"The project modality and scope should be carefully considered during project preparation.  The simple stand-alone project loan modality is less advantageous when implementing a multi- component project that involves a wide range of subsectors and project proponents, unless the  executing agency has strong project management capacity. Given a sound development policy  and firm medium-term investment plan, a more flexible project modality—such as financial  intermediation and results-based lending—should be considered. Alternatively, the project scope  should be well focused to minimize the complexity of project management.","Stand alone projects are not well designed to deal with highly complex operations, and alternative modalities are preferred."
"Urban development plans should be carefully assessed in preparation of any district  heating project. The relevance and effectiveness of the district heating project design (heat source,  generation capacity, and transmission and distribution) depend entirely on urban zoning, which is  linked to commercial and public building construction planning, industrial complex development,  and population growth projections. 16 ADB. 2Report and Recommendation of the President to the Board of Directors: Proposed Loan to the People's Republic of China for Low Carbon District Heating Project in Huhhot in Inner Mongolia Autonomous Region (Loan  3218-PRC). Manila; ADB. 2Report and Recommendation of the President to the Board of Directors: Proposed  Loan to the People's Republic of China for Qingdao Smart Low Carbon District Energy (Loan 3358-PRC). Manila.",Design of district heating projects should always follow urban development plans
"The strong commitment and ownership of the project proponents is critical to the success  of a demonstration project that uses the latest technologies for the first time in a country.  Establishing a dedicated entity responsible for the review of the technical design, construction  and operation of the project facilities is a key success factor. Similarly, strong institutional support  is crucial to ensure the viability of a project with complex challenges.",Ownership and an institutional structure are critical elements for innovative projects.  
